"","","","","","","","","","","pred"
"193",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"194",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"195",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"196",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"197",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"198",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"199",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"200",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"201",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"202",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"203",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"204",10,0,0,0,0.325123572332489,6.80591768482965e-141,5.24826573885594e-314,5.24826573885594e-314,5.24826573885594e-314,1
"205",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"206",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"207",10,0,0,0,0.325123572332489,6.80591768482965e-141,5.24826573885594e-314,5.24826573885594e-314,5.24826573885594e-314,1
"208",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"209",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"210",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"211",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"212",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"213",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"214",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"215",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"216",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"217",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"218",4,0,0,0,0.869015634853711,9.30517796287652e-57,6.92299785750156e-315,6.92299785750156e-315,6.92299785750156e-315,1
"219",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"220",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"221",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"222",4,0,0,0,0.869015634853711,9.30517796287652e-57,6.92299785750156e-315,6.92299785750156e-315,6.92299785750156e-315,1
"223",15,0,0,0,0.0513765321901408,1.88027182380278e-211,1.01776951567446e-313,1.01776951567446e-313,1.01776951567446e-313,1
"224",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"225",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"226",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"227",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
